key,rank,pattern,message
良い,2,も良い,たくさんいいところあるね！逆に悪いところってどこだろう？
よい,2,がよい,他にもいいところはある？
よい,2,はよい,ダメなところはどこだろう？
よい,2,もよい,たくさんいいところあるね！逆に悪いところってどこだろう？
悪い,2,が悪い,なんで悪いんだろう？おしえて！
悪い,2,も悪い,悪いところいくつかあるね！ひとつづつ考えていこうか！まずどれから考えてみる？
悪い,2,は悪い,じゃあその問題について考えてみよう！何が原因かな？
わるい,2,がわるい,なんで悪いんだろう？おしえて！
わるい,2,もわるい,悪いところいくつかあるね！ひとつづつ考えていこうか！まずどれから考えてみる？
わるい,2,はわるい,じゃあその問題について考えてみよう！何が原因かな？
てる,0,*,それでそれで？
なお,0,*,じゃあ問題を整理していこう！何が原因かな？
直し,0,*,じゃあ問題を整理していこう！何が原因かな？
おかしい,0,*,何が問題かな！考えてみようか！
おかしい,2,がおかしい,お！じゃあそこふかぼりしてみようか！
おかしい,2,もおかしい,オーケー！ひとつひとつ解決していこ～！
好き,0,*,わかる！もっと聞かせて！
すき,0,*,わかる！もっと聞かせて！
嫌い,0,*,そうなんだ！どこら辺が嫌いなの？
きらい,0,*,そうなんだ！どこら辺が嫌いなの？
し,0,*,ふむふむ。もっと聞かせて！
痛い,0,*,今日はもう休もうよ！どう...?
苦しい,0,*,自分を大切にして！少しぐらい休んでも誰も怒らないよ！
つらい,0,*,休むなんてどうかな？甘いものでも食べようよ！
いたい,0,*,今日はもう休もうよ！どう...?
くるしい,0,*,自分を大切にして！少しぐらい休んでも誰も怒らないよ！
辛い,0,*,休むなんてどうかな？甘いものでも食べようよ！
多い,0,*,一つ一つ！大事なことだよ！
きつい,0,*,一回休む？それとももっと頑張る？
がんばる,0,*,頑張ろう！ゴールはもう少し！根拠はないけどね！
頑張る,0,*,頑張ろう！ゴールはもう少し！根拠はないけどね！
おおい,0,*,一つ一つ！大事なことだよ！
出,2,が出,どこをいじったの？
出,0,*,前と何か変えたの？
実行,2,を実行,元に戻して別の所を変えてみようよ？
実行,2,て実行,元に戻した方がいいんじゃない？
実行,0,*,元に戻せるの？
で,2,がで,どこをいじったの？
で,0,*,前と何か変えたの？
行い,2,を行い,元に戻した方がいいんじゃない？
行い,2,も行い,何か余分だったんじゃない？
行い,0,*,どこが原因なのか分かるかな？
書け,2,が書け,詳しく調べてみたらいいんじゃないかな？
書け,2,は書け,すごいじゃん！その調子だよ！！
書け,0,*,よく考えたら大丈夫だよ！
疲れ,0,*,お疲れ様！ゆっくり休んでね！
好き,2,が好き,私は桃が好きかな！
眠い,0,*,おやすみなさい！
上手く,2,が上手く,次もがんばろう！
上手く,2,は上手く,次もがんばろう！
上手く,2,に上手く,次もがんばろう！
上手く,2,を上手く,次もがんばろう！
上手く,0,*,次もがんばろう！
参照,2,を参照,それをもっと詳しく調べてみようよ！
参照,2,が参照,そっちの方も見てみようよ！
参照,2,に参照,そっちの方も見てみようよ！
参照,0,*,詳しく聞かせて！
作り,2,を作り,詳しく調べてみようよ！
作り,2,は作り,視野を広くしていこう！
作り,2,も作り,まずは一つ一つ片づけていくのがおすすめ
作り,0,*,詳しく調べてみようよ！
考える,2,を考える,良い案かもしれないから、もっと深くしていこう！
考える,2,も考える,そういう考え方もあり！ひとつに縛られずに行こう！
考える,2,*,考える！いいことだね！！
